Year,Value
2005,127.9
2006,147.3
2007,158.8
2008,148.5
2009,121.8
2010,106.2
2011,88.1
2012,76.6
2013,77.4
2014,89.7
2015,100
2016,107.3
2017,119
2018,130.8
2019,134
2020,134.6
2021,145.9
2022,164.3


Year,Value1,Value2
2005,127.9,164.3
2006,147.3,145.9
2007,158.8,134.6
2008,148.5,134.6
2009,121.8,134
2010,106.2,130.8
2011,88.1,119
2012,76.6,107.3
2013,77.4,100
2014,89.7,89.7
2015,100,77.4
2016,107.3,88.1
2017,119,55.3
2018,130.8,152.3
2019,134,76.3
2020,134.6,85.9
2021,145.9,35.3
2022,164.3,111.4